revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_ed2cd62_81a598e/rev_ed2cd62-81a598e.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_3c1e8ae_b4616f2/rev_3c1e8ae-b4616f2.revisions;598;281;0;281;2;317;304;13;0;0;41;0;22
/experiment_results/projects/async-http-client/revisions/rev_a69bf5c_ffe26a1/rev_a69bf5c-ffe26a1.revisions;598;281;0;281;2;317;317;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0debb0f_db8e48c/rev_0debb0f-db8e48c.revisions;598;281;0;281;2;317;317;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_1217e17_5e3844a/rev_1217e17-5e3844a.revisions;588;281;0;281;2;307;307;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9112398_ad9d355/rev_9112398-ad9d355.revisions;588;281;0;281;2;307;307;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c3ec1d6_976795d/rev_c3ec1d6-976795d.revisions;604;297;0;297;2;307;307;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_b8dd1c9_962297e/rev_b8dd1c9-962297e.revisions;602;295;0;295;2;307;307;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c0f338c_15f0676/rev_c0f338c-15f0676.revisions;605;295;0;295;2;310;310;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9e5e4ec_d7a1f8e/rev_9e5e4ec-d7a1f8e.revisions;605;295;0;295;2;310;310;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_e058017_07d2fa3/rev_e058017-07d2fa3.revisions;606;295;0;295;2;311;311;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_72a080a_29d812e/rev_72a080a-29d812e.revisions;606;295;0;295;2;311;311;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_392dd48_76b5120/rev_392dd48-76b5120.revisions;606;295;0;295;2;311;311;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a265f5f_29177e3/rev_a265f5f-29177e3.revisions;607;295;0;295;2;312;312;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_06c70ad_0191718/rev_06c70ad-0191718.revisions;607;295;0;295;2;312;311;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a593230_9392473/rev_a593230-9392473.revisions;607;295;0;295;2;312;311;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0de073a_4cbe990/rev_0de073a-4cbe990.revisions;607;295;0;295;2;312;312;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_43be7e2_26ba9f5/rev_43be7e2-26ba9f5.revisions;607;295;0;295;2;312;312;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_bb2a7bb_86b19a5/rev_bb2a7bb-86b19a5.revisions;611;295;0;295;2;316;316;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0245ef3_1bf36f4/rev_0245ef3-1bf36f4.revisions;611;295;0;295;2;316;316;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a93d61e_bfc5866/rev_a93d61e-bfc5866.revisions;611;295;0;295;2;316;316;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_64cdeb2_cacd726/rev_64cdeb2-cacd726.revisions;611;295;0;295;2;316;315;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9b0e390_4b2d2d5/rev_9b0e390-4b2d2d5.revisions;610;295;0;295;2;315;315;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_55ece6d_951b1d8/rev_55ece6d-951b1d8.revisions;611;295;0;295;2;316;314;2;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ca59da0_5255aaf/rev_ca59da0-5255aaf.revisions;611;295;0;295;2;316;315;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_333de99_7f95822/rev_333de99-7f95822.revisions;614;295;0;295;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_8194daf_21b7843/rev_8194daf-21b7843.revisions;614;295;0;295;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_743e746_477bb3a/rev_743e746-477bb3a.revisions;614;295;0;295;3;319;309;10;0;0;17;0;21
